nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;128000;ACEH
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;151000;"SUMATERA UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;119000;"SUMATERA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;151500;RIAU
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;119500;JAMBI
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;127500;"SUMATERA SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;127500;BENGKULU
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;126000;LAMPUNG
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;-;"KEP. BANGKA BELITUNG"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;235000;"KEP. RIAU"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;172500;"DKI JAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;172500;"JAWA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;113000;"JAWA TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;106500;"DI YOGYAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;132500;"JAWA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;-;BANTEN
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;141500;BALI
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;108000;"NUSA TENGGARA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;106000;"NUSA TENGGARA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;126500;"KALIMANTAN BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;138000;"KALIMANTAN TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;125000;"KALIMANTAN SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;153000;"KALIMANTAN TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;-;"KALIMANTAN UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;118000;"SULAWESI UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;106500;"SULAWESI TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;112500;"SULAWESI SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;121000;"SULAWESI TENGGARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;-;GORONTALO
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;-;"SULAWESI BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;136000;MALUKU
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;-;"MALUKU UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;-;"PAPUA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;170000;PAPUA
"Upah Minimum Regional/Propinsi";"Tidak Ada";1997;Tahun;135000;INDONESIA
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;147000;ACEH
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;174000;"SUMATERA UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;137000;"SUMATERA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;174000;RIAU
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;137500;JAMBI
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;146500;"SUMATERA SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;146500;BENGKULU
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;145000;LAMPUNG
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;146500;"KEP. BANGKA BELITUNG"
